date_norm,orig_total_pnl,adj_total_pnl,delta
2023-03-28,0.0,0.0,0.0
2023-11-14,155.50335699999994,155.50335699886682,-1.133116711571347e-09
2024-03-09,176965.491774,176965.4917739647,-3.530294634401798e-08
2024-07-03,158742.378078,158742.37807799186,-8.149072527885437e-09
2024-10-27,3189461.032019,3207409.4442838663,17948.41226486629
2025-02-19,6699925.190574,5886552.3750199,-813372.8155541001
2025-06-15,71709.347634,66639.31351798722,-5070.034116012786
