date,account,daily_pnl,trades_count,win_count,avg_trade_size,avg_leverage,long_count,short_count,win_rate,long_short_ratio,daily_min_cum_pnl
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327545.999992,202,104,16311.138465346536,-227.47579405940593,104,98,0.5148514851485149,1.0612244897850895,0.0
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.579418,419,12,2305.200429594272,-19861.19324582339,11,408,0.028639618138424822,0.02696078431365941,0.0
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,37526.331877,1016,834,2056.391348425197,45431.45028337067,545,471,0.8208661417322834,1.1571125265368214,0.0
2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,15,0,2333.2533333333336,407.5825710066667,15,0,0.0,15000000000.0,0.0
2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11.717676000000012,54,2,933.2848148148149,6120.096383009259,47,7,0.037037037037037035,6.714285713326531,-120.769714
2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,39978.37791,1804,585,1376.8141407982262,-23960.167224100856,625,1179,0.32427937915742794,0.5301102629342408,-92.54321800000001
2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8695.357326,724,55,2936.1985911602205,25886.172055294253,642,82,0.07596685082872928,7.8292682925874475,0.0
2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,49180.714882,4211,1763,1636.15022559962,1132.0375123760864,2398,1813,0.418665400142484,1.3226696083831646,0.986932
2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,67900.247545,283,155,1684.2025795053005,133035.66037265162,125,158,0.5477031802120141,0.791139240501322,0.0
2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222,190,105,3387.3391578947367,2723.7275294477367,84,106,0.5526315789473685,0.7924528301812033,0.0
2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,55.01524,9,2,1862.9299999999998,0.04466666666666667,7,2,0.2222222222222222,3.49999999825,0.0
2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1421755.845871,1268,719,2166.171861198738,85049.13046951673,148,1120,0.5670347003154574,0.13214285714273916,0.0
2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,11671.68,267,41,2725.7805992509366,-152738.83370397004,49,218,0.15355805243445692,0.2247706422008038,-35.2512
2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,684215.002602,9883,5626,2693.2837964180917,27038.950628886574,3092,6791,0.5692603460487706,0.45530849653947053,0.0
2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,1927735.720035,3356,1361,16345.241939809297,-1370.0056983015495,1572,1784,0.40554231227651966,0.8811659192820173,0.0
2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17098.727055,3533,1537,1693.3516841211435,21539.92666430181,1528,2005,0.43504104160769885,0.7620947630918893,-10820.995737999996
2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,29970.928216,1136,489,10836.90096830986,3.1797150088028165,506,630,0.43045774647887325,0.8031746031733283,-130.17661199999998
2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10435.095669,6794,2940,533.2378127759788,19016.992153857747,3606,3188,0.4327347659699735,1.1311166875780643,-14442.698101000015
2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,116412.254606,2471,1319,3205.000631323351,548471.3604589235,872,1599,0.5337919870497774,0.5453408380234238,0.0
2025-02-19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-59349.677108,349,92,1648.5575358166188,6023.751787384872,66,283,0.2636103151862464,0.23321554770235614,-59350.485706
2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,-20526.462526,3445,1100,4800.430827285922,-159448.51041287434,1589,1856,0.3193033381712627,0.8561422413788491,-133456.11680700004
2025-02-19,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45883.628955,141,79,4338.219787234042,13230.204061323666,58,83,0.5602836879432624,0.6987951807144723,0.0
2025-02-19,0x420ab45e0bd8863569a5efbb9c05d91f40624641,183403.024142,258,63,4563.756162790698,-3106.2091451562674,83,175,0.2441860465116279,0.4742857142830041,0.0
2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.905862,671,324,2807.6623994038746,22547.423815201193,211,460,0.4828614008941878,0.4586956521729159,0.0
2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.214094,4629,1692,541.9522812702527,-2121.3932960323627,2270,2359,0.36552171095268954,0.9622721492153615,-2091.955997999993
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.827224,3806,1885,8998.349072517078,45926.91525875439,1797,2009,0.4952706253284288,0.8944748631155328,0.0
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,223968.37089299998,3737,1464,20468.303636606903,1.6229242681295155,2107,1630,0.39175809472839174,1.292638036809023,0.0
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,5777,2401,28304.44506318158,3425.5473594634186,2646,3131,0.4156136402977324,0.8450974129668333,435.894176
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,6979.340871,572,154,891.0710664335664,-1696.939583224056,346,226,0.2692307692307692,1.5309734513206594,0.0
