account,date,sentiment_num,rol_trades_7,rol_leverage_7,rol_winrate_7,rol_size_7,rol_trades_14,rol_leverage_14,rol_winrate_14,rol_pnl_7,target_next_profitable
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,1.0,462.0,-356.2439424242424,0.0259740259740259,14810.891818181815,462.0,-356.2439424242424,0.0259740259740259,-327505.900056,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,-1.0,1909.0,-863.1248203628959,0.21575816912527274,15578.066878995556,1909.0,-863.1248203628959,0.21575816912527274,800114.9099895,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,1.0,320.0,1888.9823969866247,0.53125,2492.74990625,320.0,1888.9823969866247,0.53125,20607.446093,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,-1.0,1926.5,11714.454530644216,0.4831455208038494,2093.0507951855716,1926.5,11714.454530644216,0.4831455208038494,18853.086574,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,0.0,2426.6666666666665,8266.647513900687,0.46955348697496196,1906.5233284896324,2426.6666666666665,8266.647513900687,0.46955348697496196,15961.773504666666,0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,0.0,5.0,-31.886000000000003,0.0,6070.2,5.0,-31.886000000000003,0.0,-1.0,1
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1.0,5.0,18.63497,0.4,19005.93,5.0,18.63497,0.4,896.0801075,1
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,-1.0,382.0,13.483218336267605,0.4101525821596244,16282.920322769955,382.0,13.483218336267605,0.4101525821596244,10587.696143666666,0
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15,0.0,952.25,-3654.8494632431766,0.36929299463699206,14218.63613205118,952.25,-3654.8494632431766,0.36929299463699206,-17609.0478295,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,1.0,6472.0,16675.925244950562,0.4437577255871446,483.5901143386898,6472.0,16675.925244950562,0.4437577255871446,121880.386016,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,-1.0,6633.0,17846.458699404153,0.4382462457785591,508.4139635573343,6633.0,17846.458699404153,0.4382462457785591,66157.7408425,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-15,0.0,4437.0,12246.727386124177,0.4847567564449653,371.60323496414884,4437.0,12246.727386124177,0.4847567564449653,44154.93818466667,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,1.0,763.0,229178.21641677583,0.4744429882044561,2941.8256880733943,763.0,229178.21641677583,0.4744429882044561,52215.729448,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,-1.0,1617.0,388824.78843784967,0.5041174876271167,3073.4131596983725,1617.0,388824.78843784967,0.5041174876271167,84313.992027,1
